book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
341,1371,1371,3293141,1726,140275363,9780140275360.0,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,Ἰλιάς,The Iliad,eng,3.83,241088,273565,4763,7701,20845,68844,89384,86791,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
353,12996,12996,995103,1053,743477553,9780743477550.0,William Shakespeare,1603.0,"The Tragedy of Othello, The Moor of Venice",Othello,eng,3.88,238875,256757,4334,4281,16576,64922,92076,78902,https://images.gr-assets.com/books/1459795105m/12996.jpg,https://images.gr-assets.com/books/1459795105s/12996.jpg,0
354,6149,6149,736076,153,1400033411,9781400033420.0,Toni Morrison,1987.0,Beloved,Beloved,eng,3.77,233825,245098,7749,12441,21409,53863,79915,77470,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
357,355697,355697,2662852,372,449213943,9780449213940.0,"Erich Maria Remarque, A.W. Wheen",1929.0,Im Westen nichts Neues,All Quiet on the Western Front,en-US,3.92,249113,265789,6947,7646,17740,55908,90874,93621,https://images.gr-assets.com/books/1441227765m/355697.jpg,https://images.gr-assets.com/books/1441227765s/355697.jpg,0
398,1097,1097,2207547,61,60838582,9780060838580.0,Eric Schlosser,2001.0,Fast Food Nation : The Dark Side of the All-American Meal,Fast Food Nation: The Dark Side of the All-American Meal,eng,3.73,179347,183361,5063,7881,12314,47602,69009,46555,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
401,10799,10799,4652599,425,99910101,9780099910110.0,Ernest Hemingway,1929.0,A Farewell to Arms,A Farewell to Arms,en-US,3.79,186613,207523,7249,6224,16181,50604,77096,57418,https://images.gr-assets.com/books/1313714836m/10799.jpg,https://images.gr-assets.com/books/1313714836s/10799.jpg,0
410,37781,37781,825843,161,385474547,9780385474540.0,Chinua Achebe,1958.0,Things Fall Apart,"Things Fall Apart (The African Trilogy, #1)",en-US,3.61,199346,213360,9884,9494,22041,59144,74584,48097,https://images.gr-assets.com/books/1352082529m/37781.jpg,https://images.gr-assets.com/books/1352082529s/37781.jpg,0
427,92303,92303,649216,728,158049580X,9781580495810.0,Oscar Wilde,1895.0,The Importance of Being Earnest,The Importance of Being Earnest,eng,4.17,210630,232256,6560,2127,7457,38513,85492,98667,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
456,12220,12220,142449,109,822210894,9780822210890.0,Tennessee Williams,1947.0,A Streetcar Named Desire,A Streetcar Named Desire,eng,3.97,194493,206983,2841,3436,11347,45238,74929,72033,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
462,2784,2784,2507145,34,140135154,9780140135150.0,John Berger,1972.0,Ways of Seeing,Ways of Seeing,eng,3.75,155658,156859,790,13276,13342,32193,39251,58797,https://images.gr-assets.com/books/1464018308m/2784.jpg,https://images.gr-assets.com/books/1464018308s/2784.jpg,0
468,37415,37415,1643555,80,61120065,9780061120060.0,Zora Neale Hurston,1937.0,Their Eyes Were Watching God,Their Eyes Were Watching God,eng,3.87,181106,198264,9005,5743,14231,44676,69779,63835,https://images.gr-assets.com/books/1368072803m/37415.jpg,https://images.gr-assets.com/books/1368072803s/37415.jpg,0
478,2932,2932,604666,558,375757325,9780375757330.0,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng,3.66,178188,196865,4603,6429,18126,58497,67140,46673,https://images.gr-assets.com/books/1403180114m/2932.jpg,https://images.gr-assets.com/books/1403180114s/2932.jpg,0
479,28862,28862,1335445,1654,937832383,9780937832390.0,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513.0,Il Principe,The Prince,eng,3.78,153128,181980,5389,4222,14222,49930,63294,50312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
483,5113,5113,3118417,125,316769029,9780316769020.0,J.D. Salinger,1961.0,Franny and Zooey,Franny and Zooey,en-US,3.98,152906,162697,5297,2841,9398,34950,56515,58993,https://images.gr-assets.com/books/1355037988m/5113.jpg,https://images.gr-assets.com/books/1355037988s/5113.jpg,0
490,15196,15196,1947012,37,394541553,9780394541560.0,Art Spiegelman,1985.0,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng,4.35,184007,191615,4837,2822,4801,21104,56900,105988,https://images.gr-assets.com/books/1327884972m/15196.jpg,https://images.gr-assets.com/books/1327884972s/15196.jpg,0
493,11138,11138,801500,152,684823780,9780684823780.0,C.S. Lewis,1952.0,Mere Christianity,Mere Christianity,eng,4.31,184759,198433,6041,4215,6220,23223,54958,109817,https://images.gr-assets.com/books/1468102872m/11138.jpg,https://images.gr-assets.com/books/1468102872s/11138.jpg,0
494,29044,29044,221359,141,1400031702,9781400031700.0,Donna Tartt,1992.0,The Secret History,The Secret History,eng,4.07,168405,189596,13324,3685,9750,32410,66858,76893,https://images.gr-assets.com/books/1451554846m/29044.jpg,https://images.gr-assets.com/books/1451554846s/29044.jpg,0
508,1869,1869,1840613,57,805063897,9780805063900.0,Barbara Ehrenreich,2001.0,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,3.6,152786,157470,5723,10628,14572,40395,53783,38092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
523,133518,133518,1235619,56,767902890,9780767902890.0,Tim O'Brien,1990.0,The Things They Carried,The Things They Carried,en-US,4.12,168678,181159,10666,2623,7845,30102,65204,75385,https://images.gr-assets.com/books/1424663847m/133518.jpg,https://images.gr-assets.com/books/1424663847s/133518.jpg,0
529,7733,7733,2394716,1762,141439491,9780141439500.0,"Jonathan Swift, Robert DeMaria Jr.",1726.0,Gulliver’s Travels,Gulliver's Travels,eng,3.55,168727,188299,3927,5995,19839,63680,61509,37276,https://images.gr-assets.com/books/1427829692m/7733.jpg,https://images.gr-assets.com/books/1427829692s/7733.jpg,0
530,12957,12957,2080738,805,743482751,9780743482750.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598.0,Much Ado About Nothing,Much Ado About Nothing,eng,4.06,175616,185702,2686,2305,7837,37688,66480,71392,https://images.gr-assets.com/books/1327885569m/12957.jpg,https://images.gr-assets.com/books/1327885569s/12957.jpg,0
531,52357,52357,189503,601,393320979,9780393320980.0,"Unknown, Seamus Heaney",975.0,Beowulf,Beowulf,en-US,3.42,155903,184187,5098,12256,25619,56758,51660,37894,https://images.gr-assets.com/books/1327878125m/52357.jpg,https://images.gr-assets.com/books/1327878125s/52357.jpg,0
560,2175,2175,2766347,1682,192840398,9780192840390.0,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0,Madame Bovary,Madame Bovary,eng,3.64,158877,186553,7617,7682,18771,51707,62328,46065,https://images.gr-assets.com/books/1335676143m/2175.jpg,https://images.gr-assets.com/books/1335676143s/2175.jpg,0
576,19380,19380,2833018,1039,486266893,9780486266890.0,Voltaire,1759.0,Candide,Candide,eng,3.76,151471,171617,5504,4906,14285,45693,59709,47024,https://images.gr-assets.com/books/1345060082m/19380.jpg,https://images.gr-assets.com/books/1345060082s/19380.jpg,0
589,16056408,16056408,19113823,53,425266745,9780425266750.0,Tammara Webber,2012.0,Easy,"Easy (Contours of the Heart, #1)",en-CA,4.11,133937,189861,11189,4496,8142,31038,64085,82100,https://images.gr-assets.com/books/1349370267m/16056408.jpg,https://images.gr-assets.com/books/1349370267s/16056408.jpg,0
597,3836,3836,121842,1887,142437239,9780142437230.0,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605.0,Don Quijote de La Mancha,Don Quixote,eng,3.85,134931,159253,5429,4667,12289,38171,50811,53315,https://images.gr-assets.com/books/1364958765m/3836.jpg,https://images.gr-assets.com/books/1364958765s/3836.jpg,0
644,13372690,30333938,18602144,60,,,Colleen Hoover,2012.0,Slammed,"Slammed (Slammed, #1)",eng,4.29,153882,176166,14423,2888,5837,22249,51947,93245,https://images.gr-assets.com/books/1328530463m/13372690.jpg,https://images.gr-assets.com/books/1328530463s/13372690.jpg,0
646,2696,2696,986234,634,140424385,9780140424390.0,"Geoffrey Chaucer, Nevill Coghill",1390.0,Tales of Caunterbury,The Canterbury Tales,eng,3.48,148480,158661,2615,6795,19618,52875,48893,30480,https://images.gr-assets.com/books/1261208589m/2696.jpg,https://images.gr-assets.com/books/1261208589s/2696.jpg,0
650,46787,46787,2478635,1075,1840224029,9781840224020.0,Harriet Beecher Stowe,1852.0,Uncle Tom's Cabin or Life Among the Lowly,Uncle Tom's Cabin,eng,3.83,137858,155559,5696,3732,11754,39559,52344,48170,https://images.gr-assets.com/books/1414349231m/46787.jpg,https://images.gr-assets.com/books/1414349231s/46787.jpg,0
662,5439,5439,3301398,83,618101365,9780618101370.0,Jhumpa Lahiri,1999.0,Interpreter of Maladies,Interpreter of Maladies,eng,4.12,110651,125062,8145,860,4045,21705,50880,47572,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
701,14942,14942,841320,572,151009988,9780151009980.0,"Virginia Woolf, Maureen Howard",1925.0,Mrs Dalloway,Mrs. Dalloway,en-US,3.78,136327,158347,6360,6254,13779,37308,52528,48478,https://images.gr-assets.com/books/1479336522m/14942.jpg,https://images.gr-assets.com/books/1479336522s/14942.jpg,0
709,4009,4009,1839377,155,316767727,9780316767730.0,J.D. Salinger,1953.0,Nine Stories,Nine Stories,eng,4.19,105138,117297,3423,1416,3591,18615,41479,52196,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
714,12938,12938,2342136,1108,074348276X,9780743482770.0,William Shakespeare,1603.0,The Tragedie of King Lear,King Lear,eng,3.89,135448,147282,3079,2825,10502,36179,47682,50094,https://images.gr-assets.com/books/1331563731m/12938.jpg,https://images.gr-assets.com/books/1331563731s/12938.jpg,0
715,12898,12898,2722054,139,435233076,9780435233080.0,Arthur Miller,1949.0,Death of a Salesman,Death of a Salesman,eng,3.49,132061,147597,3486,6733,19241,46338,46051,29234,https://images.gr-assets.com/books/1469024140m/12898.jpg,https://images.gr-assets.com/books/1469024140s/12898.jpg,0
718,10975,10975,1168289,221,,,William Faulkner,1929.0,The Sound and the Fury,The Sound and the Fury,eng,3.86,124665,133331,5485,6725,10848,26021,40913,48824,https://images.gr-assets.com/books/1433089995m/10975.jpg,https://images.gr-assets.com/books/1433089995s/10975.jpg,0
736,16981,16981,170957,109,679732764,9780679732760.0,Ralph Ellison,1952.0,Invisible Man,Invisible Man,eng,3.84,123073,127464,4160,4351,10006,28935,43080,41092,https://images.gr-assets.com/books/1352854247m/16981.jpg,https://images.gr-assets.com/books/1352854247s/16981.jpg,0
763,11337,11337,1987778,104,452287065,9780452287070.0,Toni Morrison,1970.0,The Bluest Eye,The Bluest Eye,eng,3.99,109944,121866,4963,2409,6094,24867,45871,42625,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
765,92057,92057,47400,105,345350685,9780345350690.0,"Malcolm X, Alex Haley",1965.0,The Autobiography of Malcolm X,The Autobiography of Malcolm X,eng,4.29,124805,131773,3951,2453,3362,16312,41019,68627,https://images.gr-assets.com/books/1434682864m/92057.jpg,https://images.gr-assets.com/books/1434682864s/92057.jpg,0
770,13006,13006,2796883,1129,198320272,9780198320270.0,"William Shakespeare, Roma Gill",1599.0,The Tragedy of Julius Caesar,Julius Caesar,eng,3.65,119933,135918,3044,3318,13030,42014,46750,30806,https://images.gr-assets.com/books/1354574927m/13006.jpg,https://images.gr-assets.com/books/1354574927s/13006.jpg,0
772,30289,30289,1625515,842,140449140,9780140449140.0,"Plato, Desmond Lee",-380.0,Πολιτεία,The Republic,eng,3.9,110274,122747,2261,2772,7531,29394,42284,40766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
773,47021,47021,3152341,689,074347757X,9780743477570.0,William Shakespeare,1593.0,The Taming of the Shrew,The Taming of the Shrew,en-US,3.81,126318,134240,2370,2869,9611,35666,47453,38641,https://images.gr-assets.com/books/1327935253m/47021.jpg,https://images.gr-assets.com/books/1327935253s/47021.jpg,0
782,58345,58345,1970518,452,543898083,9780543898080.0,Kate Chopin,1899.0,The Awakening,The Awakening,eng,3.63,125474,137455,5662,7523,14751,35125,44172,35884,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
819,16902,16902,2361393,852,691096120,9780691096120.0,Henry David Thoreau,1854.0,Walden; or Life in the Woods,Walden,eng,3.79,108062,120653,3620,5092,10227,27683,39108,38543,https://images.gr-assets.com/books/1465675526m/16902.jpg,https://images.gr-assets.com/books/1465675526s/16902.jpg,0
824,1554,1554,3098166,498,1580495931,9781580495940.0,"Sophocles, J.E. Thomas",-430.0,Οἰδίπους Τύραννος,"Oedipus Rex  (The Theban Plays, #1)",eng,3.67,119496,134384,2129,3032,12324,42020,45436,31572,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
828,9516,9516,3303888,39,037571457X,9780375714570.0,"Marjane Satrapi, Mattias Ripa",2000.0,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",eng,4.23,117103,119965,6588,1138,3121,16734,45474,53498,https://images.gr-assets.com/books/1425871473m/9516.jpg,https://images.gr-assets.com/books/1425871473s/9516.jpg,0
839,24128,24128,2682703,1088,743477561,9780743477570.0,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",1596.0,The Merchant of Venice,The Merchant of Venice,eng,3.78,115621,128289,2616,1925,9212,36917,46745,33490,https://images.gr-assets.com/books/1327871054m/24128.jpg,https://images.gr-assets.com/books/1327871054s/24128.jpg,0
855,1625,1625,3267921,861,743482778,9780743482780.0,William Shakespeare,1601.0,"Twelfth Night; or, What You Will",Twelfth Night,eng,3.97,119607,128893,2615,1494,6329,29985,47546,43539,https://images.gr-assets.com/books/1416628008m/1625.jpg,https://images.gr-assets.com/books/1416628008s/1625.jpg,0
861,15745950,15745950,21436019,58,1476712980,9781476712990.0,Jamie McGuire,2013.0,Walking Disaster,"Walking Disaster (Beautiful, #2)",eng,4.23,134022,145114,11348,2597,5841,20243,42657,73776,https://images.gr-assets.com/books/1352338368m/15745950.jpg,https://images.gr-assets.com/books/1352338368s/15745950.jpg,0
887,77013,77013,481854,134,067973225X,9780679732260.0,William Faulkner,1930.0,As I Lay Dying,As I Lay Dying,eng,3.72,103547,110705,5508,6178,10613,24587,35971,33356,https://images.gr-assets.com/books/1451810782m/77013.jpg,https://images.gr-assets.com/books/1451810782s/77013.jpg,0
904,10140661,10140661,15038778,50,1936305623,9781936305630.0,Sylvain Reynard,2011.0,Gabriel's Inferno,"Gabriel's Inferno (Gabriel's Inferno, #1)",eng,4.02,119633,127883,7192,5445,8481,21252,35901,56804,https://images.gr-assets.com/books/1301789770m/10140661.jpg,https://images.gr-assets.com/books/1301789770s/10140661.jpg,0
924,10964693,10964693,15668403,78,374203059,9780374203050.0,Jeffrey Eugenides,2011.0,The Marriage Plot,The Marriage Plot,eng,3.42,90551,99271,10634,4472,12653,33397,33807,14942,https://images.gr-assets.com/books/1328736940m/10964693.jpg,https://images.gr-assets.com/books/1328736940s/10964693.jpg,0
934,17716,17716,2635502,187,,,Samuel Beckett,1952.0,En attendant Godot,Waiting for Godot,eng,3.81,98950,113243,3767,4684,9587,25125,36788,37059,https://images.gr-assets.com/books/1327910301m/17716.jpg,https://images.gr-assets.com/books/1327910301s/17716.jpg,0
951,22283,7076703,1602338,63,009928264X,9780099282650.0,Chuck Palahniuk,1999.0,Survivor,Survivor,en-US,3.93,49551,88231,3078,903,4759,20844,34767,26958,https://images.gr-assets.com/books/1327346693m/22283.jpg,https://images.gr-assets.com/books/1327346693s/22283.jpg,0
959,7588,7588,3298883,766,142437344,9780142437350.0,"James Joyce, Seamus Deane",1916.0,A Portrait of the Artist as a Young Man,A Portrait of the Artist as a Young Man,eng,3.6,92569,103232,3934,6367,11067,26108,33169,26521,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
962,13496084,19390926,19038910,30,,,Colleen Hoover,2012.0,Point of Retreat,"Point of Retreat (Slammed, #2)",eng,4.3,109344,124145,8186,1204,3594,16043,39235,64069,https://images.gr-assets.com/books/1330543249m/13496084.jpg,https://images.gr-assets.com/books/1330543249s/13496084.jpg,0
965,13517535,13517535,14321512,38,146109111X,9781461091110.0,S.C. Stephens,2009.0,Thoughtless,"Thoughtless (Thoughtless, #1)",eng,4.12,90483,123867,8939,5238,6858,17472,32339,61960,https://images.gr-assets.com/books/1331254339m/13517535.jpg,https://images.gr-assets.com/books/1331254339s/13517535.jpg,0
977,15645,15645,2377563,856,812970063,9780812970070.0,"Dante Alighieri, Anthony M. Esolen",1320.0,Inferno,Inferno (The Divine Comedy #1),,3.99,87511,109200,3576,1930,6267,23308,37680,40015,https://images.gr-assets.com/books/1333579470m/15645.jpg,https://images.gr-assets.com/books/1333579470s/15645.jpg,0
984,15997,15997,1031493,819,140424393,9780140424390.0,"John Milton, John      Leonard",1667.0,Paradise Lost,Paradise Lost,eng,3.8,96316,104580,2645,3956,9036,25069,32906,33613,https://images.gr-assets.com/books/1455618673m/15997.jpg,https://images.gr-assets.com/books/1455618673s/15997.jpg,0
1005,3711,3711,7480,115,375703861,9780375703870.0,Zadie Smith,1999.0,White Teeth,White Teeth,en-US,3.75,82474,90629,5347,2679,7363,23002,34725,22860,https://images.gr-assets.com/books/1374739885m/3711.jpg,https://images.gr-assets.com/books/1374739885s/3711.jpg,0
1025,7214,7214,10352,38,785263705,9780785263710.0,Donald Miller,2003.0,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,en-US,3.92,82090,83060,3546,2857,5382,16699,28410,29712,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1030,10996342,10996342,15915002,55,316126691,9780316126690.0,Chad Harbach,2011.0,The Art of Fielding,The Art of Fielding,eng,3.99,81712,89228,9610,1595,4131,16772,38073,28657,https://images.gr-assets.com/books/1327882787m/10996342.jpg,https://images.gr-assets.com/books/1327882787s/10996342.jpg,0
1036,15842441,15842441,16657003,37,1476717486,9781476717490.0,S.C. Stephens,2011.0,Effortless,"Effortless (Thoughtless, #2)",eng,4.37,83085,106314,4350,1581,3034,11691,28189,61819,https://images.gr-assets.com/books/1364805648m/15842441.jpg,https://images.gr-assets.com/books/1364805648s/15842441.jpg,0
1083,82970,82970,1822441,46,033041836X,9780330418360.0,Alice Sebold,1999.0,Lucky,Lucky,eng,3.77,77462,82636,3856,1583,5781,23290,31476,20506,https://images.gr-assets.com/books/1327190847m/82970.jpg,https://images.gr-assets.com/books/1327190847s/82970.jpg,0
1084,59716,59716,1323448,465,140679239X,9781406792390.0,Virginia Woolf,1927.0,To The Lighthouse,To the Lighthouse,eng,3.76,83066,95572,4775,4380,8735,22226,30179,30052,https://images.gr-assets.com/books/1346239665m/59716.jpg,https://images.gr-assets.com/books/1346239665s/59716.jpg,0
1085,105576,105576,101768,20,8129104598,9788129104600.0,Chetan Bhagat,2004.0,Five Point Someone: What Not to Do at IIT,Five Point Someone,en-GB,3.43,67438,69052,1786,3290,8985,22960,22478,11339,https://images.gr-assets.com/books/1298571209m/105576.jpg,https://images.gr-assets.com/books/1298571209s/105576.jpg,0
1099,57854,67896,100074,1265,679776192,9780679776190.0,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",-300.0,道德經 [dào dé jīng],Tao Te Ching,eng,4.31,39863,80961,3165,903,2332,10967,22924,43835,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1106,17267,17267,1215780,82,6280560,9790007672390.0,C.S. Lewis,1945.0,The Great Divorce,The Great Divorce,en-US,4.28,75031,80763,3847,1213,2311,10473,25434,41332,https://images.gr-assets.com/books/1166805741m/17267.jpg,https://images.gr-assets.com/books/1166805741s/17267.jpg,0
